"Exp";"ID";"Age";"Gender";"ch";"cho1";"cho2";"cho3";"cho4";"ncho1";"ncho2";"ncho3";"ncho4";"dcho1";"dcho2";"dcho3";"dcho4";"Prio1";"Prio2";"Prio3";"Prio4";"SecPrio1";"SecPrio2";"SecPrio3";"SecPrio4"
0,0000000000000000e+00;1,0000000000000000e+00;2,5000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;1,7000000000000000e+01;8,1000000000000000e+01;5,3000000000000000e+01;8,3000000000000000e+01;6,3000000000000000e+01;9,0000000000000000e+00;3,0000000000000000e+01;3,6000000000000000e+01;41;23;-34;32;1,9000000000000000e+01;7,8000000000000000e+01;5,2000000000000000e+01;1,0000000000000000e+02;9,0000000000000000e+00;7,9000000000000000e+01;5,4000000000000000e+01;8,8000000000000000e+01
0,0000000000000000e+00;2,0000000000000000e+00;2,5000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;6,4000000000000000e+01;7,7000000000000000e+01;2,6000000000000000e+01;8,1000000000000000e+01;3,3000000000000000e+01;3,0000000000000000e+01;8,5000000000000000e+01;2,2000000000000000e+01;41;23;-34;32;6,4000000000000000e+01;6,9000000000000000e+01;8,9000000000000000e+01;1,0000000000000000e+02;6,5000000000000000e+01;5,7000000000000000e+01;7,7000000000000000e+01;8,7000000000000000e+01
0,0000000000000000e+00;3,0000000000000000e+00;2,4000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;7,4000000000000000e+01;4,6000000000000000e+01;3,1000000000000000e+01;7,4000000000000000e+01;2,7000000000000000e+01;6,3000000000000000e+01;9,2000000000000000e+01;4,1000000000000000e+01;41;23;-34;32;6,3000000000000000e+01;2,3000000000000000e+01;7,8000000000000000e+01;9,7000000000000000e+01;5,2000000000000000e+01;2,2000000000000000e+01;7,1000000000000000e+01;9,1000000000000000e+01
0,0000000000000000e+00;4,0000000000000000e+00;2,7000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;4,2000000000000000e+01;3,2000000000000000e+01;6,2000000000000000e+01;7,6000000000000000e+01;2,6000000000000000e+01;4,7000000000000000e+01;7,4000000000000000e+01;2,4000000000000000e+01;41;23;-34;32;3,2000000000000000e+01;6,9000000000000000e+01;7,2000000000000000e+01;9,7000000000000000e+01;1,8000000000000000e+01;5,3000000000000000e+01;5,1000000000000000e+01;9,5000000000000000e+01
0,0000000000000000e+00;5,0000000000000000e+00;2,2000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;2,0000000000000000e+01;3,4000000000000000e+01;6,7000000000000000e+01;5,3000000000000000e+01;4,1000000000000000e+01;7,4000000000000000e+01;4,2000000000000000e+01;3,0000000000000000e+01;-41;-23;34;-32;1,4000000000000000e+01;5,0000000000000000e+01;9,8000000000000000e+01;1,0000000000000000e+02;0,0000000000000000e+00;2,3000000000000000e+01;1,0000000000000000e+02;9,5000000000000000e+01
0,0000000000000000e+00;6,0000000000000000e+00;3,2000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;2,6000000000000000e+01;2,0000000000000000e+01;6,2000000000000000e+01;5,0000000000000000e+01;6,3000000000000000e+01;3,1000000000000000e+01;3,0000000000000000e+01;7,2000000000000000e+01;-41;-23;34;-32;7,9000000000000000e+01;8,0000000000000000e+01;9,2000000000000000e+01;5,6000000000000000e+01;5,9000000000000000e+01;6,6000000000000000e+01;9,1000000000000000e+01;2,8000000000000000e+01
0,0000000000000000e+00;7,0000000000000000e+00;2,3000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;6,4000000000000000e+01;6,4000000000000000e+01;3,5000000000000000e+01;6,8000000000000000e+01;3,3000000000000000e+01;3,0000000000000000e+01;6,3000000000000000e+01;7,5000000000000000e+01;41;23;-34;32;5,1000000000000000e+01;1,7000000000000000e+01;8,6000000000000000e+01;8,2000000000000000e+01;6,3000000000000000e+01;4,2000000000000000e+01;7,2000000000000000e+01;6,6000000000000000e+01
0,0000000000000000e+00;8,0000000000000000e+00;2,5000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;2,7000000000000000e+01;8,7000000000000000e+01;1,8000000000000000e+01;8,9000000000000000e+01;8,9000000000000000e+01;3,2000000000000000e+01;8,7000000000000000e+01;1,9000000000000000e+01;41;23;-34;32;3,9000000000000000e+01;5,2000000000000000e+01;7,8000000000000000e+01;9,7000000000000000e+01;4,8000000000000000e+01;6,1000000000000000e+01;7,9000000000000000e+01;9,3000000000000000e+01
0,0000000000000000e+00;9,0000000000000000e+00;2,6000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;5,9000000000000000e+01;2,8000000000000000e+01;6,6000000000000000e+01;6,0000000000000000e+01;3,2000000000000000e+01;7,2000000000000000e+01;4,3000000000000000e+01;5,5000000000000000e+01;-41;-23;34;-32;7,0000000000000000e+01;6,0000000000000000e+01;8,2000000000000000e+01;7,5000000000000000e+01;6,5000000000000000e+01;5,2000000000000000e+01;6,1000000000000000e+01;5,7000000000000000e+01
0,0000000000000000e+00;1,0000000000000000e+01;2,2000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;6,8000000000000000e+01;1,7000000000000000e+01;7,4000000000000000e+01;3,4000000000000000e+01;5,8000000000000000e+01;6,2000000000000000e+01;3,9000000000000000e+01;6,4000000000000000e+01;-41;-23;34;-32;6,9000000000000000e+01;2,7000000000000000e+01;9,5000000000000000e+01;9,6000000000000000e+01;6,1000000000000000e+01;3,6000000000000000e+01;7,1000000000000000e+01;7,8000000000000000e+01
0,0000000000000000e+00;1,1000000000000000e+01;2,3000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;6,7000000000000000e+01;3,1000000000000000e+01;4,1000000000000000e+01;8,1000000000000000e+01;2,3000000000000000e+01;6,8000000000000000e+01;7,1000000000000000e+01;1,0000000000000000e+01;41;23;-34;32;8,3000000000000000e+01;7,1000000000000000e+01;7,6000000000000000e+01;9,8000000000000000e+01;8,3000000000000000e+01;3,5000000000000000e+01;5,1000000000000000e+01;9,5000000000000000e+01
0,0000000000000000e+00;1,2000000000000000e+01;2,5000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;9,6000000000000000e+01;6,6000000000000000e+01;5,0000000000000000e+00;6,9000000000000000e+01;3,0000000000000000e+01;5,0000000000000000e+00;9,5000000000000000e+01;2,6000000000000000e+01;41;23;-34;32;3,8000000000000000e+01;1,8000000000000000e+01;6,3000000000000000e+01;8,8000000000000000e+01;3,1000000000000000e+01;9,0000000000000000e+00;6,5000000000000000e+01;9,0000000000000000e+01
0,0000000000000000e+00;1,3000000000000000e+01;2,1000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;6,5000000000000000e+01;6,7000000000000000e+01;1,6000000000000000e+01;7,3000000000000000e+01;3,1000000000000000e+01;2,6000000000000000e+01;5,7000000000000000e+01;3,4000000000000000e+01;-41;-23;34;-32;6,3000000000000000e+01;7,0000000000000000e+01;8,5000000000000000e+01;1,3000000000000000e+01;7,2000000000000000e+01;4,3000000000000000e+01;8,9000000000000000e+01;3,3000000000000000e+01
0,0000000000000000e+00;1,4000000000000000e+01;2,2000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;2,1000000000000000e+01;2,5000000000000000e+01;7,0000000000000000e+01;2,4000000000000000e+01;7,2000000000000000e+01;6,4000000000000000e+01;2,4000000000000000e+01;6,7000000000000000e+01;-41;-23;34;-32;5,2000000000000000e+01;1,6000000000000000e+01;7,9000000000000000e+01;7,8000000000000000e+01;2,7000000000000000e+01;1,8000000000000000e+01;8,1000000000000000e+01;7,4000000000000000e+01
0,0000000000000000e+00;1,5000000000000000e+01;2,2000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;6,8000000000000000e+01;7,9000000000000000e+01;2,1000000000000000e+01;8,0000000000000000e+01;2,7000000000000000e+01;8,0000000000000000e+01;7,2000000000000000e+01;1,3000000000000000e+01;41;23;-34;32;1,2000000000000000e+01;8,7000000000000000e+01;7,5000000000000000e+01;7,7000000000000000e+01;9,1000000000000000e+01;4,1000000000000000e+01;2,4000000000000000e+01;7,9000000000000000e+01
0,0000000000000000e+00;1,7000000000000000e+01;2,4000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;8,7000000000000000e+01;8,3000000000000000e+01;2,5000000000000000e+01;2,4000000000000000e+01;2,3000000000000000e+01;2,1000000000000000e+01;7,7000000000000000e+01;1,7000000000000000e+01;41;23;-34;32;6,0000000000000000e+01;7,2000000000000000e+01;9,6000000000000000e+01;7,2000000000000000e+01;5,9000000000000000e+01;6,2000000000000000e+01;8,8000000000000000e+01;7,3000000000000000e+01
0,0000000000000000e+00;1,8000000000000000e+01;2,3000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;5,4000000000000000e+01;2,7000000000000000e+01;8,7000000000000000e+01;5,1000000000000000e+01;8,5000000000000000e+01;6,2000000000000000e+01;1,6000000000000000e+01;3,9000000000000000e+01;-41;-23;34;-32;5,6000000000000000e+01;3,9000000000000000e+01;6,9000000000000000e+01;9,2000000000000000e+01;4,6000000000000000e+01;3,4000000000000000e+01;7,5000000000000000e+01;5,1000000000000000e+01
0,0000000000000000e+00;1,9000000000000000e+01;2,5000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;3,0000000000000000e+01;4,0000000000000000e+01;7,5000000000000000e+01;2,6000000000000000e+01;7,4000000000000000e+01;6,1000000000000000e+01;3,4000000000000000e+01;8,0000000000000000e+01;41;23;-34;32;7,9000000000000000e+01;6,0000000000000000e+01;7,1000000000000000e+01;4,8000000000000000e+01;7,9000000000000000e+01;5,7000000000000000e+01;6,9000000000000000e+01;3,6000000000000000e+01
0,0000000000000000e+00;2,0000000000000000e+01;2,2000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;4,4000000000000000e+01;2,9000000000000000e+01;8,7000000000000000e+01;7,0000000000000000e+01;1,1000000000000000e+01;3,4000000000000000e+01;8,6000000000000000e+01;2,7000000000000000e+01;-41;-23;34;-32;2,4000000000000000e+01;8,2000000000000000e+01;9,5000000000000000e+01;9,8000000000000000e+01;3,8000000000000000e+01;5,3000000000000000e+01;8,3000000000000000e+01;7,4000000000000000e+01
0,0000000000000000e+00;2,1000000000000000e+01;2,7000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;5,8000000000000000e+01;5,9000000000000000e+01;2,0000000000000000e+01;7,5000000000000000e+01;3,3000000000000000e+01;3,3000000000000000e+01;8,0000000000000000e+01;4,0000000000000000e+01;-41;-23;34;-32;8,0000000000000000e+01;7,2000000000000000e+01;8,1000000000000000e+01;9,8000000000000000e+01;6,4000000000000000e+01;5,2000000000000000e+01;8,1000000000000000e+01;7,6000000000000000e+01
0,0000000000000000e+00;2,2000000000000000e+01;2,5000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;5,3000000000000000e+01;2,8000000000000000e+01;6,7000000000000000e+01;3,0000000000000000e+01;2,7000000000000000e+01;5,9000000000000000e+01;2,3000000000000000e+01;6,0000000000000000e+01;-41;-23;34;-32;2,2000000000000000e+01;2,1000000000000000e+01;9,7000000000000000e+01;7,8000000000000000e+01;4,7000000000000000e+01;3,1000000000000000e+01;8,2000000000000000e+01;4,8000000000000000e+01
0,0000000000000000e+00;2,3000000000000000e+01;2,2000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;5,8000000000000000e+01;7,7000000000000000e+01;2,2000000000000000e+01;8,2000000000000000e+01;5,2000000000000000e+01;3,0000000000000000e+01;7,9000000000000000e+01;3,0000000000000000e+01;-41;-23;34;-32;5,1000000000000000e+01;1,4000000000000000e+01;9,7000000000000000e+01;7,7000000000000000e+01;4,8000000000000000e+01;1,5000000000000000e+01;8,8000000000000000e+01;8,5000000000000000e+01
0,0000000000000000e+00;2,4000000000000000e+01;1,9000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;6,6000000000000000e+01;8,3000000000000000e+01;1,8000000000000000e+01;5,9000000000000000e+01;6,4000000000000000e+01;4,1000000000000000e+01;7,1000000000000000e+01;2,5000000000000000e+01;41;23;-34;32;6,8000000000000000e+01;6,9000000000000000e+01;9,2000000000000000e+01;8,1000000000000000e+01;5,4000000000000000e+01;6,9000000000000000e+01;8,5000000000000000e+01;8,4000000000000000e+01
0,0000000000000000e+00;2,5000000000000000e+01;2,3000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;5,0000000000000000e+01;2,2000000000000000e+01;7,6000000000000000e+01;3,0000000000000000e+01;7,1000000000000000e+01;7,1000000000000000e+01;1,5000000000000000e+01;5,6000000000000000e+01;-41;-23;34;-32;6,9000000000000000e+01;4,4000000000000000e+01;7,8000000000000000e+01;8,1000000000000000e+01;5,5000000000000000e+01;4,7000000000000000e+01;7,3000000000000000e+01;6,3000000000000000e+01
0,0000000000000000e+00;2,6000000000000000e+01;2,3000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;6,8000000000000000e+01;3,5000000000000000e+01;8,1000000000000000e+01;5,5000000000000000e+01;2,2000000000000000e+01;6,2000000000000000e+01;3,7000000000000000e+01;6,9000000000000000e+01;-41;-23;34;-32;1,0000000000000000e+01;1,6000000000000000e+01;7,1000000000000000e+01;7,0000000000000000e+01;2,8000000000000000e+01;2,7000000000000000e+01;8,4000000000000000e+01;8,3000000000000000e+01
0,0000000000000000e+00;2,7000000000000000e+01;2,5000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;2,7000000000000000e+01;4,1000000000000000e+01;8,4000000000000000e+01;2,6000000000000000e+01;5,7000000000000000e+01;7,0000000000000000e+01;1,5000000000000000e+01;8,3000000000000000e+01;-41;-23;34;-32;4,2000000000000000e+01;3,1000000000000000e+01;9,9000000000000000e+01;9,8000000000000000e+01;4,3000000000000000e+01;1,6000000000000000e+01;9,0000000000000000e+01;6,5000000000000000e+01
0,0000000000000000e+00;2,8000000000000000e+01;2,1000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;5,3000000000000000e+01;4,6000000000000000e+01;1,6000000000000000e+01;7,8000000000000000e+01;7,4000000000000000e+01;5,2000000000000000e+01;8,9000000000000000e+01;3,3000000000000000e+01;-41;-23;34;-32;4,7000000000000000e+01;6,5000000000000000e+01;9,8000000000000000e+01;5,1000000000000000e+01;6,0000000000000000e+01;5,3000000000000000e+01;9,1000000000000000e+01;3,8000000000000000e+01
